url,top_lang,n_lang,all_langs
3cs.lk,en,1,en
abansit.lk,en,1,en
ada.lk,si,2,si-en
adaderana.lk,en,3,en-de-sv
adaheta.lk,en,2,en-si
adhere.lk,en,3,en-ta-si
agaram.lk,en,1,en
agrarianvav.lk,en,1,en
ahmadtea.lk,en,1,en
airport.lk,en,1,en
airtel.lk,en,1,en
aithiya.lk,si,2,si-en
akbar.com,en,1,en
alphabusiness.lk,en,1,en
amanabank.lk,en,1,en
anidda.lk,si,3,si-en-ta
anim8.lk,en,1,en
anybanq.lk,en,3,en-ta-si
apictures.lk,en,1,en
apiit.lk,en,1,en
appleasia.lk,en,1,en
applications.lk,en,1,en
architectssrilanka.org,en,1,en
aruna.lk,si,2,si-en
asiangrammar.lk,en,1,en
asianmirror.lk,en,1,en
asiasecurities.lk,en,3,en-ta-si
asirihardware.lk,en,3,en-si-ta
aussie.lk,en,1,en
australianwellness.lk,en,1,en
baiscope.lk,si,3,si-en-sco
barclays.lk,en,1,en
barnhouse.lk,en,1,en
bata.lk,en,2,en-si
bestlife.lk,en,1,en
boc.lk,en,3,en-ta-si
bu.lk,en,1,en
budusarana.lk,en,3,en-pl-da
buonappetitofoods.lk,en,1,en
buyserandib.lk,en,2,en-si
caa.gov.lk,en,1,en
cal.lk,en,2,en-si
camerapro.lk,en,1,en
campusone.lk,en,1,en
capitaltrust.lk,en,1,en
carbonnews.lk,si,2,si-en
casrilanka.com,en,1,en
catchme.lk,en,1,en
cda.gov.lk,en,1,en
ceb.lk,en,1,en
celltronics.lk,en,1,en
certislankacourier.com,en,1,en
ceslerp.lk,en,1,en
ceylon-online.com,en,2,en-iu
ceylonagri.lk,si,2,si-en
ceylonelements.lk,en,1,en
ceylonlanka.info,en,1,en
ceylontoday.lk,en,2,en-si
ceypetco.gov.lk,en,3,en-si-ta
cfps.edu.lk,en,1,en
chamber.lk,en,1,en
chargenet.lk,en,1,en
cheflanka.com.au,en,1,en
chinahub.lk,en,2,en-si
chordslankalk.com,en,1,en
chordssrilanka.com,en,2,en-si
cida.gov.lk,ta,2,ta-si
cineru.lk,si,3,si-en-aa
cir.lk,en,3,en-ta-si
citizen.lk,en,3,en-ta-si
citizenslanka.org,en,3,en-ta-si
cityads.lk,en,2,en-si
clubpalmbay.lk,en,1,en
cma-srilanka.org,en,1,en
cmb.ac.lk,en,1,en
codl.lk,en,1,en
coffeeworks.lk,en,1,en
col3negoriginal.lk,en,1,en
colombopage.com,en,1,en
colombopost.lk,si,2,si-en
colombotimes.lk,en,2,en-si
contacts.lk,en,2,en-si
corn.lk,en,2,en-si
creativeminds.lk,en,1,en
crocodilesrilanka.com,en,1,en
cryptonationacademy.lk,en,2,en-la
cse.lk,en,1,en
cupertino.lk,en,2,en-si
cyberdeals.lk,en,1,en
dailyceylon.lk,ta,3,ta-si-en
dailymirror.lk,en,1,en
dailynews.lk,en,1,en
damro.lk,en,1,en
daph.gov.lk,en,1,en
daraz.lk,en,2,en-si
dasathalankanews.com,en,1,en
datatouch.lk,en,1,en
dea.gov.lk,en,1,en
dealhub.lk,en,1,en
defence.lk,en,3,en-ta-si
degree.lk,en,1,en
dekma.edu.lk,en,1,en
dekma.lk,en,3,en-et-nl
desertcart.lk,da,3,da-nl-sv
deshaya.lk,si,2,si-en
dialog.lk,en,3,en-ta-si
dilmahtea.com,en,1,en
dinamina.lk,si,2,si-en
divaina.com,si,2,si-en
divaina.lk,si,2,si-en
dlb.lk,en,1,en
dnc.lk,en,2,en-si
doc.lk,en,3,en-si-sa
documents.gov.lk,en,3,en-sk-sr
doenets.lk,en,1,en
domains.lk,en,1,en
dos.lk,en,3,en-ka-es
dotlinklanka.lk,en,1,en
dpcode.lk,en,1,en
dpielts.lk,en,1,en
drc.gov.lk,en,1,en
dsasolutions.lk,si,2,si-en
dscsc.lk,en,1,en
eastlink.lk,en,3,en-fr-da
ecell.lk,en,1,en
echelon.lk,en,1,en
edb.gov.lk,en,1,en
edukinniya.lk,ta,2,ta-en
edutoys.lk,en,1,en
egrn.lk,ru,2,ru-id
emerald.lk,en,1,en
en.wikipedia.org,en,3,en-sr-no
enenapiyasa.lk,si,3,si-ta-en
eprice.lk,en,2,en-da
eslims.gov.lk,en,1,en
esn.ac.lk,en,1,en
esoft.lk,en,1,en
eta.gov.lk,en,3,en-zh-hi
etenders.lk,en,1,en
ethos.lk,en,3,en-la-si
evclub.lk,en,2,en-si
export-lanka.com,en,1,en
fastbuy.lk,en,1,en
fastnews.lk,si,3,si-ta-en
fds.ac.lk,en,1,en
flich.lk,en,2,en-si
flytolanka.com,en,1,en
foyo.lk,en,1,en
ft.lk,en,1,en
gagana.lk,si,2,si-en
galileo.lk,en,1,en
gamestreet.lk,en,1,en
gic.gov.lk,en,3,en-si-ta
glm.lk,en,3,en-si-id
glomark.lk,en,1,en
goldfm.lk,en,1,en
google.lk,en,1,en
gossiplanka-hotnews.com,la,2,la-en
gossiplankanews.com,si,2,si-en
gossipmachan.lk,si,2,si-en
gov.lk,en,3,en-pl-sr
govdoc.lk,en,3,en-la-pl
govjob.lk,en,1,en
greasemonkey.lk,en,1,en
greenline.lk,en,1,en
gshealth.lk,en,1,en
hanika.lk,en,2,en-si
headlinenews.lk,si,2,si-en
health.gov.lk,en,3,en-es-fr
helakuru.lk,en,1,en
hirufm.lk,en,1,en
hirunews.lk,en,1,en
hitwicket.lk,si,2,si-en
hnb.lk,en,1,en
hogwa.lk,en,2,en-si
horizoncampus.edu.lk,en,2,en-si
house.lk,en,1,en
hsbc.lk,en,1,en
hungrill.lk,en,3,en-da-nl
hutch.lk,en,1,en
ict-history.lk,en,3,en-ta-si
idealsoft.lk,en,1,en
idealz.lk,en,2,en-si
ideamart.lk,en,3,en-ta-si
idevice.lk,en,1,en
ido.lk,en,1,en
iit.ac.lk,en,1,en
ijse.lk,en,1,en
ikman.lk,en,1,en
imagine.lk,en,1,en
imbs.lk,en,1,en
imexport.gov.lk,en,3,en-ta-si
immigration.gov.lk,en,1,en
indeepa.edu.lk,en,1,en
infolanka.com,en,1,en
investsrilanka.com,en,1,en
ipay.lk,en,1,en
ips.lk,en,1,en
island.lk,en,1,en
ispot.lk,en,1,en
itnnews.lk,si,2,si-en
janet.lk,en,2,en-si
janrichfoods.lk,en,1,en
jayasrilanka.net,en,2,en-si
jbs.lk,en,1,en
jlankatech.com,en,2,en-si
jnpsrilanka.lk,si,2,si-en
jobpool.lk,-,-,-
jungle.lk,en,1,en
kane.lk,en,3,en-nl-ga
karaokelanka.com,si,2,si-en
kdu.ac.lk,en,3,en-fa-tr
kelimandala.lk,si,2,si-en
kidsislandkottawa.lk,en,2,en-si
kiki.lk,qu,1,qu
kiu.ac.lk,en,1,en
kln.ac.lk,en,3,en-ta-si
koombiyodelivery.lk,en,1,en
kuviyam.lk,ta,3,ta-si-en
lacnet.org,en,1,en
lakehouse.lk,en,2,en-si
lanka-micro.com,en,3,en-pl-ca
lankabell.com,en,1,en
lankabusinessnews.com,en,2,en-si
lankabusinessonline.com,en,1,en
lankabuysell.com,en,2,en-si
lankacareersandtalents.com,en,3,en-nl-pl
lankaclip.info,si,2,si-en
lankadatacenter.com,en,1,en
lankadeepa.lk,si,2,si-en
lankaenews.com,en,3,en-si-ta
lankahost.lk,en,1,en
lankahost.net,en,1,en
lankahotnews.net,si,2,si-en
lankahq.net,en,1,en
lankalibrary.com,-,-,-
lankalinksystems.com,en,1,en
lankanewsweb.net,en,1,en
lankasara.com,en,2,en-si
lankasathosa.lk,en,3,en-nl-pl
lankasri.com,ta,2,ta-en
lankatimes.com,en,1,en
lankatimes.lk,si,2,si-en
lankatruth.com,en,1,en
lankaxpress.com,en,1,en
lankayurveda.com,en,1,en
lapcity.lk,en,2,en-si
lifemobile.lk,en,1,en
liveat8.lk,si,2,si-en
loanme.lk,si,3,si-ta-en
logipharma.lk,en,1,en
lolcfinance.lk,-,-,-
lsgroup.lk,en,1,en
lsplk.com,en,1,en
lucky1.lk,en,3,en-da-pl
lusterblue.lk,en,1,en
mabrocteas.com,en,1,en
maga.lk,en,1,en
mahamevnawa.lk,si,3,si-ta-en
maruads.lk,en,1,en
mawbima.lk,si,2,si-en
mawratanews.lk,en,2,en-si
maya.lk,en,3,en-da-de
maza.lk,en,2,en-si
megapaysl.lk,en,1,en
meteo.gov.lk,en,3,en-si-ta
mfa.gov.lk,en,3,en-si-ta
mmsrilanka.com,en,3,en-si-la
mobitel.lk,en,1,en
moe.gov.lk,-,-,-
mohe.gov.lk,en,3,en-si-ta
mrt.ac.lk,en,3,en-cs-gd
musaeus.lk,en,1,en
myfly.lk,en,1,en
myschool.lk,si,3,si-en-aa
myshop.lk,en,1,en
mysoftlogic.lk,en,1,en
nanotek.lk,en,1,en
nation.lk,en,1,en
navy.lk,en,1,en
nccsl.lk,en,2,en-si
nestle.lk,en,1,en
nethgossip.lk,si,2,si-en
nethnews.lk,si,2,si-en
news.lk,en,1,en
news19.lk,si,2,si-en
news24.lk,si,2,si-en
newscutter.lk,en,1,en
newsfirst.lk,en,3,en-ta-si
newsi.lk,si,2,si-en
newsline.lk,si,2,si-en
newswire.lk,en,2,en-si
nexxcom.lk,en,3,en-si-la
nic.lk,-,-,-
nie.lk,en,1,en
nipo.gov.lk,en,3,en-pl-da
nipponsolar.lk,en,1,en
nlb.lk,en,3,en-ta-si
nsb.lk,en,3,en-si-ta
nsbm.ac.lk,-,-,-
ntc.gov.lk,si,3,si-en-ta
nwpedu.lk,en,1,en
ocbsrilanka.edu.lk,en,1,en
od.lk,en,1,en
odiris.lk,en,1,en
oncredit.lk,si,2,si-en
onlineaccounting.lk,en,2,en-si
onlineexams.gov.lk,en,1,en
onlinejobs.lk,en,1,en
onlinekade.lk,en,1,en
openlearn.lk,en,1,en
orikmo.lk,en,1,en
ou.ac.lk,en,3,en-ca-es
ozonelanka.com,en,1,en
panlanka.com,en,1,en
parliament.lk,en,1,en
pastpapers.lk,en,2,en-si
paycorp.lk,en,1,en
pchouse.lk,en,1,en
peoplespay.lk,en,3,en-fr-ca
perfuma.lk,en,2,en-da
pgihs.ac.lk,en,1,en
pgihs.lk,en,1,en
phonebook.lk,en,1,en
pickme.lk,en,1,en
picture.lk,en,1,en
pitaka.lk,en,3,en-eu-de
pixinn.net,ja,2,ja-en
pizzahut.lk,en,1,en
postage.lk,en,1,en
primetuition.lk,en,1,en
protean.com.lk,en,1,en
protein.lk,en,1,en
pubad.gov.lk,en,1,en
pucsl.gov.lk,en,3,en-ta-si
pureceylontea.com,en,1,en
purewax.lk,en,1,en
quickpay.lk,en,1,en
radicalsrilanka.com,si,2,si-en
radio.com.lk,si,2,si-en
railway.gov.lk,en,1,en
rainbowpages.lk,en,1,en
rata.lk,si,1,si
rda.gov.lk,en,1,en
redlinetech.lk,en,2,en-si
reecha.lk,en,3,en-ta-si
regen.lk,en,1,en
register.lk,en,3,en-it-nl
rentitem.lk,en,1,en
rgd.gov.lk,en,1,en
rjt.ac.lk,en,3,en-la-ta
ruh.ac.lk,en,1,en
runews.lk,si,2,si-en
saaravita.lk,si,2,si-en
sambole.lk,en,3,en-da-sv
sampath.lk,en,1,en
sarigama.lk,en,1,en
sd.lk,ru,2,ru-en
selanie.lk,en,1,en
sellx.lk,nl,3,nl-da-en
sense.lk,en,2,en-si
seosrilanka.net,-,-,-
serenediva.lk,en,1,en
seylan.lk,en,1,en
seylanbank.lk,en,1,en
sgs.lk,en,3,en-zh-Hant-bg
shophere.lk,en,2,en-si
shopvk.lk,en,1,en
sigmafeet.lk,en,1,en
silumina.lk,si,3,si-ta-en
singhagiri.lk,en,1,en
singularitysrilanka.com,en,1,en
sinhalasongs.lk,en,1,en
sjp.ac.lk,en,3,en-si-ta
skyjobs.lk,en,1,en
slbc.lk,en,1,en
slbcnews.lk,en,3,en-ta-si
slbfe.lk,en,3,en-ta-si
slembassyusa.org,en,1,en
slmix.lk,en,2,en-da
slnc.lk,en,1,en
slpost.gov.lk,en,2,en-si
slsi.lk,en,2,en-si
slt.lk,en,1,en
sltda.gov.lk,en,3,en-ta-si
sltdigital.lk,en,1,en
sltdirectory.lk,en,1,en
sltds.lk,en,1,en
sltraveler.lk,si,3,si-en-sw
slwcs.org,en,1,en
smartlankaonline.net,en,1,en
smartwatches.lk,en,2,en-el
solex.lk,en,1,en
songhub.lk,en,1,en
sooriyanfm.lk,en,2,en-ta
spar.lk,en,1,en
sprpta.lk,en,2,en-si
srilanka-apparel.com,en,1,en
srilanka-places.com,en,2,en-ta
srilankabusiness.com,en,1,en
srilankacricket.lk,si,2,si-en
srilankaembassyrome.org,en,3,en-si-ta
srilankaequity.forumotion.com,en,2,en-si
srilankaimporter.com,en,1,en
srilankaleakvideos.blogspot.com,en,2,en-sco
srilankamirror.com,en,2,en-si
srilankan.com,-,-,-
srilankanmatrimony.com,en,1,en
stcmount.edu.lk,en,1,en
studyabroadguru.lk,en,1,en
subz.lk,en,2,en-si
sundayobserver.lk,en,3,en-ta-si
sundaytimes.lk,en,3,en-da-pl
supplementfactory.lk,en,2,en-si
syzygy.lk,en,3,en-nl-da
tab.lk,en,1,en
tamilguru.lk,en,1,en
tamilmirror.lk,ta,2,ta-en
tamilnet.com,en,3,en-sv-gd
tecroot.lk,en,1,en
thamilan.lk,ta,3,ta-en-ms
thegrand.lk,en,1,en
theleader.lk,si,3,si-en-ta
themorning.lk,en,1,en
thinakkural.lk,en,1,en
timesjobs.lk,en,1,en
timesonline.lk,en,1,en
tisrilanka.org,en,3,en-si-ta
toko.lk,en,1,en
topjobs.lk,en,1,en
transexpress.lk,en,1,en
travelsrilanka.ch,de,1,de
treasury.gov.lk,en,3,en-si-ta
trueceylon.lk,ta,2,ta-en
truenews.lk,si,3,si-en-ta
trulysrilanka.com,en,1,en
trv.lk,en,2,en-id
tryaksh.lk,en,2,en-da
ttvnews.lk,si,3,si-cs-en
tudo.lk,en,1,en
tulipcom.lk,en,1,en
tvslankadealerhub.com,en,1,en
tyrebass.lk,en,1,en
tyreshoponline.lk,en,1,en
ubuy.com.lk,en,3,en-ta-si
ugc.ac.lk,en,1,en
unhabitat.lk,en,1,en
uom.lk,en,1,en
updates.lk,si,2,si-en
urlaub-sr-lanka.info,en,1,en
vinivida.lk,si,2,si-en
virakesari.lk,ta,2,ta-en
virgincareer.lk,en,2,en-la
viswamcampus.edu.lk,en,1,en
vitawell.lk,-,-,-
voguejewellers.lk,en,1,en
w3campus.lk,en,1,en
wasi.lk,en,3,en-si-cs
waterboard.lk,en,1,en
wealthtrust.lk,en,1,en
welendan.lk,en,2,en-si
wijeyadigital.lk,-,-,-
wimalweerawansa.lk,si,2,si-en
windforce.lk,en,1,en
wineworld.lk,en,1,en
winsoft.lk,en,2,en-si
withanage.tripod.com,en,1,en
wonderfulmom.lk,en,2,en-si
wsg.lk,en,1,en
xmobile.lk,en,2,en-si
yesman.lk,en,2,en-si
yo.lk,de,2,de-en
zoom.lk,si,3,si-en-ia
