url,url_var,depth_0,depth_0_var,depth_1,depth_1_var,depth_2,depth_2_var,depth_3,depth__var,depth_4+,depth_4+_var
3cs.lk,5826,638,54,8346,1115,2585,685,3974,1356,10475,104
abansit.lk,1678,256,84,1128,190,4108,698,1067,189,1041,93
ada.lk,56506,1563,11,512,80,1097,358,201292,47550,10803,345
adaderana.lk,307197,15589,28,328965,104022,104850,18681,372008,79017,176473,59
adaheta.lk,-,-,-,-,-,-,-,-,-,-,-
adhere.lk,2014,55,15,67,22,156,85,124,76,3248,53
agaram.lk,640,78,6,230,95,109,99,214,85,396,63
agrarianvav.lk,382,78,24,529,93,535,97,69,15,220,57
ahmadtea.lk,366,52,31,149,60,386,154,15,7,280,48
airport.lk,16961,608,7,8372,488,23595,3006,23706,5839,20261,51
airtel.lk,6365,965,26,5500,307,10154,1151,17548,2593,9870,70
aithiya.lk,12196,386,155,7665,4666,6151,4249,502,321,3550,47
akaza.lk,228,24,3,129,11,87,52,105,45,227,71
akbar.com,2713,701,46,6277,548,5975,1347,1794,418,838,67
alphabusiness.lk,427,24,13,233,143,123,103,3,3,173,46
amanabank.lk,2602,165,6,2119,118,2936,608,3591,1037,2444,66
amaradeva.com,407,184,4,1448,103,582,297,6,3,0,0
anidda.lk,61313,5122,3333,61956,23092,9564,5885,4538,2171,39239,46
anim8.lk,3600,776,173,6638,887,7501,780,2480,509,2346,78
anybanq.lk,208,16,3,64,15,44,21,106,77,146,90
apictures.lk,942,43,6,234,18,128,83,825,697,201,179
apiit.lk,3870,385,24,4120,369,3636,1294,5556,1048,2182,49
appleasia.lk,989,65,30,176,51,43,37,45,43,866,49
applications.lk,34622,1034,788,9398,625,9426,2180,21331,4627,74705,49
architectssrilanka.org,298,37,3,364,79,97,84,172,124,14,82
aruna.lk,45037,8293,3895,66841,27458,10014,4270,5949,2333,26362,87
asiangrammar.lk,4552,89,6,680,86,1324,393,1209,430,5446,81
asianmirror.lk,73840,617,25,13960,4116,3066,1907,76232,41682,43028,177
asiasecurities.lk,554,127,6,405,61,219,126,440,198,251,60
asirihardware.lk,364,21,5,25,15,34,33,18,17,362,47
atimes.com,2159,30125,20,7812,174,1672,189,9889,209,12565,102
aussie.lk,3170,19,7,42,30,8768,3098,1,1,126,102
australianwellness.lk,271,9,2,7,4,357,178,17,17,70,98
b2b.lk,2338,73,4,4529,1050,3773,1267,30,6,41,55
baiscope.lk,3194,253,127,536,152,3411,1249,372,246,4193,54
bamgreen.lk,716,150,6,1167,96,1390,303,255,128,260,41
barclays.lk,12838,620,8,19334,2032,19675,6264,6555,2850,5824,61
barnhouse.lk,623,86,9,669,133,200,73,64,23,755,48
bata.lk,7016,830,671,3091,1513,5955,2312,1015,434,3316,37
bepost.lk,5,8,2,13,3,0,0,0,0,0,0
bestlife.lk,432,126,40,1237,125,49,18,28,10,389,77
boc.lk,2823,573,6,3097,401,2363,283,5751,1111,2045,70
bookhunter.lk,5151,166,112,189,33,6644,3706,77,75,1604,48
britishcouncil.lk,6350,1491,10,6793,253,9062,1676,4357,1067,9596,77
bu.lk,5288,326,7,11808,3103,8892,1967,557,107,409,41
budusarana.lk,36364,155,7,657,17,0,0,2009,225,202729,83
buonappetitofoods.lk,422,83,14,480,76,217,59,37,12,463,53
buyserandib.lk,116,1,1,14,14,42,42,11,11,48,62
caa.gov.lk,4966,189,7,976,23,6993,2055,258,94,5582,68
caa.lk,12611,1047,7,11701,1863,3711,1056,7741,2364,19359,70
cal.lk,3004,288,92,2160,348,618,284,526,217,4874,45
camerapro.lk,1378,39,5,584,22,607,355,354,156,1694,117
campusone.lk,179,4,1,0,0,0,0,6,5,307,68
capitaltrust.lk,2178,353,6,3974,212,4322,852,1716,320,2006,46
carbonnews.lk,7490,727,696,3674,2353,1221,1183,220,213,3183,44
careka.lk,2952,41,5,750,460,734,616,219,208,1878,609
casrilanka.com,18443,291,9,2327,66,20811,12434,315,101,14908,94
catchme.lk,12302,658,216,4394,786,23448,7135,4033,1338,4076,121
cbsl.gov.lk,41932,1938,21,10203,234,15866,1331,53371,5734,259589,78
cbsl.lk,1251,70,4,831,69,3599,881,1168,230,149,85
cda.gov.lk,6511,59,6,115,12,5606,5368,68,33,1833,67
cdbinet.lk,4,3,2,9,2,0,0,0,0,0,0
ceb.lk,11068,1994,259,20376,3313,5524,1191,8251,3024,9354,67
celltronics.lk,53070,961,408,17213,4380,26470,15346,22352,16199,24762,133
cerebrum.lk,-,-,-,-,-,-,-,-,-,-,-
certislankacourier.com,275,178,10,740,81,150,50,19,10,193,80
ceslerp.lk,395,191,3,625,45,839,158,802,183,91,58
ceyentra.lk,97,2,2,17,4,2,2,11,11,78,82
ceylon-online.com,9280,1221,352,22325,5346,3478,1385,468,427,1849,101
ceylonagri.lk,68,6,4,64,60,3,3,1,1,0,0
ceylonelements.lk,-,-,-,-,-,-,-,-,-,-,-
ceylonlanka.info,12470,376,7,1619,45,68,19,70479,10642,2307,96
ceylontoday.lk,121751,11785,56,99132,61692,47347,29581,8968,3398,39118,45
ceypetco.gov.lk,8789,831,184,8756,999,4750,814,3359,1957,10520,38
cfps.edu.lk,1,0,0,5,1,0,0,0,0,0,0
chamber.lk,8194,641,74,8204,1024,5595,1744,10018,2178,10171,108
chargenet.lk,607,122,32,627,71,106,31,37,16,1363,90
cheflanka.com.au,8586,110,20,6751,5367,5963,2784,1097,228,755,76
chinahub.lk,-,-,-,-,-,-,-,-,-,-,-
chordslankalk.com,7670,113,7,28406,6864,1016,534,427,263,3,74
chordssrilanka.com,8614,204,8,10907,1608,852,63,28517,5218,5066,82
chta.lk,7,2,1,9,6,0,0,0,0,0,0
cida.gov.lk,3141,101,15,999,288,3834,1410,2824,655,981,85
cineru.lk,22090,463,340,6501,3657,2133,1548,501,230,23834,42
cir.lk,1355,182,106,883,146,982,458,336,213,533,36
citizen.lk,48967,847,379,7137,1983,22795,17538,117449,19558,11247,168
citizenslanka.org,5066,634,259,1991,313,12321,2739,893,224,3455,47
cityads.lk,1686,46,5,44,5,553,72,1434,1069,687,44
clubpalmbay.lk,222,37,5,347,33,188,84,141,87,13,59
cma-srilanka.org,5828,763,18,6673,561,7487,1537,925,294,7336,61
cmb.ac.lk,5018,11687,3765,671,180,1419,150,1128,453,620,56
codl.lk,1462,246,7,1249,110,1237,285,1870,386,2682,62
coffeeworks.lk,420,15,3,160,23,204,19,135,21,555,68
col3negoriginal.lk,214723,1864,21,55757,29145,714176,166550,67633,4840,102632,64
colombopage.com,71995,16926,62,431,57,143614,71846,9,7,23,95
colombopost.lk,1761,115,81,377,11,27,15,50,30,1894,48
colombotimes.lk,131019,7332,5390,24989,13965,53382,43893,2707,2269,107599,45
combank.lk,7675,297,5,2409,222,2596,1154,5158,1792,11407,65
contacts.lk,14627,46,4,310,57,5738,3159,28219,11218,680,82
corn.lk,2,2,1,1,1,0,0,0,0,0,0
creativeminds.lk,5084,128,22,2097,421,3262,845,8157,1238,9245,87
crocodilesrilanka.com,713,69,6,1038,112,913,281,192,85,299,63
cryptonationacademy.lk,193,5,3,46,37,68,68,3,3,82,55
cse.lk,28435,909,23,16977,2801,51781,14290,20851,9909,2767,57
cts1.lk,-,-,-,-,-,-,-,-,-,-,-
cupertino.lk,170,16,15,11,11,14,14,23,23,107,82
customs.gov.lk,18055,1660,111,12765,735,24886,5795,7871,1664,25542,48
cyberdeals.lk,2343,30,3,190,68,1976,1376,768,294,721,92
dailyceylon.lk,36933,155,46,10986,10480,69,49,102,62,27213,52
dailymirror.lk,277902,23407,32,6693,582,658169,151588,57804,39084,268605,130
dailynews.lk,-,-,-,-,-,-,-,-,-,-,-
damro.lk,10162,906,253,9852,487,9861,3581,6868,1578,13764,87
daph.gov.lk,3778,218,7,1426,90,9010,1942,159,47,3126,69
daraz.lk,70877,1889,183,114271,43299,30478,23514,1829,895,4458,189
dasathalankanews.com,10197,754,626,2144,1604,768,738,159,90,8967,55
datatouch.lk,4,1,1,7,3,0,0,0,0,0,0
dea.gov.lk,3038,430,209,2171,669,534,354,110,89,2668,44
dealhub.lk,511,78,52,167,58,606,261,70,30,135,42
defence.lk,71544,1354,15,70638,23524,67227,30927,24208,13648,5998,59
degree.lk,439,10,4,85,40,355,234,3,3,158,73
dekma.edu.lk,108,131,6,761,58,103,28,50,14,2,56
dekma.lk,171,18,3,54,13,105,31,59,35,135,58
desertcart.lk,26039,88,8,944,30,27634,23111,2641,2289,659,82
deshaya.lk,30950,888,7,2432,120,5262,505,7393,1492,102765,64
dialog.lk,166973,1748,120,31595,5033,141591,101379,27810,10004,129511,64
digitalreader.lk,-,-,-,-,-,-,-,-,-,-,-
dilmahtea.com,12664,1156,89,11928,901,14842,2889,12498,4207,14919,103
dinamina.lk,495498,38695,26174,61177,33526,81671,47575,49215,17784,559209,60
directpay.lk,446,179,17,916,104,305,63,162,85,411,108
divaina.com,186477,25492,8,142,27,77,25,27389,3240,907235,79
divaina.lk,163461,6655,3308,37898,21656,27668,14846,14012,3719,198166,54
dlb.lk,9735,851,8,12884,2379,10816,1690,4853,1236,9467,49
dnc.lk,362,13,2,146,26,1003,245,116,21,94,72
doc.lk,2951,100,9,1376,145,2753,2269,241,179,863,59
documents.gov.lk,51072,13703,6,8594,534,9813,1110,11368,2594,93177,79
doenets.lk,5279,955,11,7387,352,7617,750,4344,905,10730,57
domains.lk,654,137,5,884,51,183,68,348,102,1174,70
dos.lk,10407,8,3,827,660,7087,6983,2050,2035,782,47
dotlinklanka.lk,76,2,2,14,7,0,0,0,0,67,85
dpcode.lk,23,10,3,40,20,0,0,0,0,0,0
dpielts.lk,1,0,0,1,1,0,0,0,0,0,0
drc.gov.lk,7760,683,71,4945,962,1796,904,4184,574,8528,90
dsasolutions.lk,-,-,-,-,-,-,-,-,-,-,-
dscsc.lk,8701,355,16,1835,435,3707,640,12026,3448,10618,40
eastlink.lk,3001,167,5,1988,175,2619,453,1221,310,4496,55
ecell.lk,1823,178,117,215,71,289,199,166,104,3280,45
echelon.lk,14306,401,229,4358,1451,12811,3008,4757,1605,15410,45
edb.gov.lk,336,169,6,278,29,415,100,360,109,218,85
edukinniya.lk,377,17,3,32,12,6,5,394,354,4,65
edutoys.lk,192,22,6,27,10,23,23,5,4,152,94
eelamweb.com,12436,585,9,11745,596,7960,1492,20612,7565,6954,66
egrn.lk,166,6,1,69,40,27,22,46,43,99,48
emerald.lk,948,114,5,1191,149,805,180,367,176,739,130
en.wikipedia.org,-,-,-,-,-,-,-,-,-,-,-
enenapiyasa.lk,1367,62,18,168,37,103,67,782,434,2041,114
energy.gov.lk,4356,199,8,2515,261,4944,1219,3867,1437,4028,75
eprice.lk,6966,22,2,9055,6542,163,108,185,172,152,55
erd.gov.lk,3625,373,3,8691,1501,2921,853,2291,631,2468,106
eslims.gov.lk,570,27,6,167,59,91,76,287,155,385,69
esn.ac.lk,24969,1146,17,6276,817,8842,2478,19766,7553,38069,72
esoft.lk,10233,549,119,16189,1478,13603,3056,3834,1095,12087,42
eta.gov.lk,19545,1357,8,6670,62,1098,237,30211,19229,109,57
etenders.lk,5479,235,14,2956,243,1706,139,18078,3288,2940,79
ethos.lk,-,-,-,-,-,-,-,-,-,-,-
evclub.lk,361,40,4,320,26,80,26,41,15,1579,57
export-lanka.com,1073,75,7,1406,374,351,168,228,122,886,66
fame.lk,488,59,4,554,119,252,158,515,142,89,61
fastbuy.lk,3229,90,12,4428,1044,1327,527,349,176,2493,84
fastnews.lk,59147,6311,5685,17546,10294,19915,12091,1871,899,37857,49
fds.ac.lk,61,40,34,27,14,2,2,13,11,0,0
firstcapital.lk,10316,324,84,10882,3309,10083,4132,952,292,3252,86
flich.lk,424,5,2,0,0,0,0,1,1,421,75
flytolanka.com,65,4,2,31,16,0,0,2,2,45,94
foyo.lk,13,2,2,15,9,0,0,0,0,2,57
ft.lk,325019,41696,18338,5692,594,16143,1846,497096,157526,426792,56
gagana.lk,2526,67,11,257,140,1574,1410,985,953,26,49
galileo.lk,183,53,1,842,37,1543,134,59,11,0,0
gamestreet.lk,4685,110,6,12222,2747,228,107,3324,1823,5,88
gic.gov.lk,63016,671,8,4851,734,27032,9769,6966,2391,99866,57
glm.lk,1,1,1,0,0,0,0,0,0,0,0
glomark.lk,2361,48,8,152,27,225,43,6971,1703,3624,70
goldfm.lk,17426,10623,17,19575,514,40547,2760,229986,10370,17086,86
google.lk,50726,37472,712,88780,24004,28320,2884,54788,2321,770879,130
gossiplanka-hotnews.com,3316,202,6,548,34,1121,122,10469,1930,1943,94
gossiplankanews.com,180556,4173,881,75878,4701,42824,1584,353380,160575,16685,72
gossipmachan.lk,1830,178,127,221,23,296,65,152,105,2428,45
gov.lk,20287,11259,15,22879,2484,35522,9729,10251,4487,9368,77
govdoc.lk,1531,79,19,1883,521,846,428,193,118,850,46
govjob.lk,11928,260,100,4768,2487,7339,2125,1908,1272,8108,46
greasemonkey.lk,10505,177,76,1061,134,5836,3463,2962,1057,7521,51
greenline.lk,1919,205,60,367,78,384,130,183,140,6611,115
gshealth.lk,571,103,6,1512,182,256,148,188,145,92,62
hanika.lk,4283,130,5,2256,377,7084,2207,3287,1039,841,63
headlinenews.lk,9044,36,10,13746,8309,279,240,41,32,526,78
health.gov.lk,21805,1101,20,13316,1087,13811,1983,41989,5469,58509,56
helakuru.lk,1701,87,6,657,50,1672,962,795,386,701,68
hirufm.lk,51856,1470,17,54317,9162,159429,16976,44900,16404,23183,98
hirunews.lk,194045,4030,9,33864,17387,301891,111428,82156,37991,49052,73
hitwicket.lk,19711,1807,1363,1376,266,23301,10008,6831,4830,4192,50
hnb.lk,984,522,7,3642,341,1301,528,305,85,39,54
hogwa.lk,52,11,5,40,17,35,25,3,1,4,81
horizoncampus.edu.lk,6497,1113,257,5319,1416,3638,1290,692,425,5589,55
house.lk,1961,239,72,929,289,663,411,223,138,1610,38
hsbc.lk,22657,820,22,11225,2056,2327,790,11110,2380,59035,56
hungrill.lk,57,57,5,329,43,8,4,2,1,4,83
hutch.lk,11882,1673,596,17121,3214,8600,2842,2697,783,8674,87
ict-history.lk,3678,209,125,879,131,2458,577,515,273,3604,48
idealsoft.lk,550,53,6,339,56,145,37,941,306,263,66
idealz.lk,2615,100,8,1048,228,1141,280,287,179,2292,46
ideamart.lk,1823,559,19,3512,210,4338,526,3355,349,4998,75
idevice.lk,1575,158,56,608,96,1198,392,1025,199,1328,44
ido.lk,1105,67,10,153,26,845,528,118,36,938,43
iit.ac.lk,7723,1611,480,6258,697,1836,706,893,422,10996,46
ijse.lk,1981,460,154,2825,341,947,438,687,356,1221,57
ikman.lk,627879,2398,79,90338,56661,123453,56962,757483,493624,34041,51
imagine.lk,2657,146,4,1530,202,3092,835,9432,1616,0,0
imbs.lk,57,7,4,50,32,1,1,8,5,27,86
imexport.gov.lk,2857,228,7,1952,280,2071,911,1532,406,2521,73
immigration.gov.lk,12062,837,22,4560,67,26466,9826,4094,230,11718,85
indeepa.edu.lk,-,-,-,-,-,-,-,-,-,-,-
infolanka.com,-,-,-,-,-,-,-,-,-,-,-
investsrilanka.com,10359,1384,181,8256,997,20834,2182,11345,1490,21022,75
ipay.lk,205,36,6,185,15,219,129,37,18,49,74
ips.lk,35408,1047,32,40164,5320,47133,6641,21646,5533,82398,42
island.lk,142976,27861,10,2341,598,398,135,1766,862,416683,44
ispot.lk,12,9,7,1,1,0,0,0,0,4,1229
itnnews.lk,12,9,7,1,1,0,0,0,0,4,1229
janet.lk,12,9,7,1,1,0,0,0,0,4,1229
janrichfoods.lk,12,9,7,1,1,0,0,0,0,4,1229
jayasrilanka.net,12,9,7,1,1,0,0,0,0,4,1229
jbs.lk,12,9,7,1,1,0,0,0,0,4,1229
jlankatech.com,12,9,7,1,1,0,0,0,0,4,1229
jnpsrilanka.lk,12,9,7,1,1,0,0,0,0,4,1229
jobpool.lk,12,9,7,1,1,0,0,0,0,4,1229
jungle.lk,12,9,7,1,1,0,0,0,0,4,1229
kane.lk,12,9,7,1,1,0,0,0,0,4,1229
karaokelanka.com,12,9,7,1,1,0,0,0,0,4,1229
kdu.ac.lk,12,9,7,1,1,0,0,0,0,4,1229
kelimandala.lk,12,9,7,1,1,0,0,0,0,4,1229
kidsislandkottawa.lk,12,9,7,1,1,0,0,0,0,4,1229
kiki.lk,12,9,7,1,1,0,0,0,0,4,1229
kiu.ac.lk,12,9,7,1,1,0,0,0,0,4,1229
kln.ac.lk,12,9,7,1,1,0,0,0,0,4,1229
koombiyodelivery.lk,12,9,7,1,1,0,0,0,0,4,1229
kuviyam.lk,12,9,7,1,1,0,0,0,0,4,1229
lacnet.org,12,9,7,1,1,0,0,0,0,4,1229
lakbima.lk,12,9,7,1,1,0,0,0,0,4,1229
lakehouse.lk,12,9,7,1,1,0,0,0,0,4,1229
lanka-micro.com,12,9,7,1,1,0,0,0,0,4,1229
lankaaththa.lk,12,9,7,1,1,0,0,0,0,4,1229
lankabell.com,12,9,7,1,1,0,0,0,0,4,1229
lankabusinessnews.com,12,9,7,1,1,0,0,0,0,4,1229
lankabusinessonline.com,12,9,7,1,1,0,0,0,0,4,1229
lankabuysell.com,12,9,7,1,1,0,0,0,0,4,1229
lankacareersandtalents.com,12,9,7,1,1,0,0,0,0,4,1229
lankaclip.info,12,9,7,1,1,0,0,0,0,4,1229
lankacnews.com,12,9,7,1,1,0,0,0,0,4,1229
lankadatacenter.com,12,9,7,1,1,0,0,0,0,4,1229
lankadeepa.lk,12,9,7,1,1,0,0,0,0,4,1229
lankaenews.com,12,9,7,1,1,0,0,0,0,4,1229
lankagate.gov.lk,12,9,7,1,1,0,0,0,0,4,1229
lankahost.lk,12,9,7,1,1,0,0,0,0,4,1229
lankahost.net,12,9,7,1,1,0,0,0,0,4,1229
lankahotnews.net,12,9,7,1,1,0,0,0,0,4,1229
lankahq.net,12,9,7,1,1,0,0,0,0,4,1229
lankalibrary.com,12,9,7,1,1,0,0,0,0,4,1229
lankalinksystems.com,12,9,7,1,1,0,0,0,0,4,1229
lankanewsweb.net,12,9,7,1,1,0,0,0,0,4,1229
lankasara.com,12,9,7,1,1,0,0,0,0,4,1229
lankasathosa.lk,12,9,7,1,1,0,0,0,0,4,1229
